Hours Worked,Inflation,New CB-Supplied Money,Real Exchange Rate,Real Money Holdings,Non-Resource GDP,Public Capital Stock,Hours Worked (Flex. Price Model),Domestic Debt,Consumption,Domestic-to-Import Ratio (Intermediates),Gdp
8.445115526231283e-05,-0.0002000865986078,0.0076147853214447,0.0008081964818045,2.551657775297755e-05,-0.0005106007751379,-0.0029165073487446,8.92603128492997e-05,1.421069419609289e-05,-0.0004753992853386,0.0058873254444659,-0.0001159851393713
8.45488016934981e-05,-0.0002078696543593,0.0077030286043656,0.0008023778537941,1.719319262540431e-05,-0.000500209644852,-0.0028244864345738,8.826051564772008e-05,-5.686163362625063e-05,-0.0004804447912895,0.0058292597607442,-6.512307598803613e-05
8.653353192304536e-05,-0.0002158290539816,0.0077854338915303,0.0007975596367725,2.10021806174332e-05,-0.0004901277126371,-0.0027288356808836,8.698433468949051e-05,-0.0001234398787311,-0.0004843230534403,0.0057810695062778,-1.912573046674471e-05
8.797868768869233e-05,-0.0002214949818092,0.0078414299296181,0.000793697234779,1.249832079012414e-05,-0.0004807421280962,-0.002630733021384,8.540449807230121e-05,-0.0001817959748937,-0.0004876675224945,0.0057412410271295,2.281843294376529e-05
8.975919863507987e-05,-0.0002267834050704,0.0078890668594149,0.0007905145932531,8.821351712917646e-06,-0.0004717757841937,-0.0025312171524243,8.362347084907907e-05,-0.0002348380271507,-0.0004902131262311,0.0057081049318978,6.074906766874832e-05
9.011241110246092e-05,-0.0002308259660309,0.0079198942215706,0.0007875896214384,-2.607890132555468e-07,-0.0004632240553696,-0.0024310767443529,8.163236720365674e-05,-0.0002814397961381,-0.000492238389405,0.0056774953093314,9.559912367516964e-05
8.770458301619045e-05,-0.0002342401476277,0.007938798593067,0.0007839508272693,-1.11547287018432e-05,-0.0004549322981004,-0.0023309183147211,7.946154282989504e-05,-0.0003226099395568,-0.0004937373070008,0.00564138463776,0.0001278583489306
8.918377826609091e-05,-0.000239689431747,0.0079693926349092,0.0007809200969623,3.981551081695401e-06,-0.0004466785873132,-0.0022315695000622,7.729816415116275e-05,-0.0003649239610705,-0.0004940346304603,0.0056123376929818,0.0001560330910945
8.809361083845779e-05,-0.0002410522841308,0.0079621417029589,0.0007779759317336,-1.252291906777003e-05,-0.0004390120592587,-0.0021332820837744,7.492078589753426e-05,-0.0003978614356813,-0.0004945979325321,0.0055831024990072,0.0001831495000771
8.712761773534971e-05,-0.0002436144697248,0.0079616529721417,0.000774268700226,-1.374123470065491e-05,-0.0004315658843539,-0.0020365872666086,7.254714675226648e-05,-0.0004293362258031,-0.0004944012275482,0.0055491388410993,0.0002070357271644
8.972653018734622e-05,-0.0002465517271168,0.0079612750160394,0.0007713400369633,-5.269610034668304e-06,-0.0004244290947391,-0.0019420371161801,7.019003108114318e-05,-0.0004599665971472,-0.0004935229215994,0.0055230280050949,0.0002276567606598
8.988606539799271e-05,-0.000246136537502,0.0079321717646936,0.0007684660498136,-2.285739534696241e-05,-0.0004180025539536,-0.0018497893804423,6.771993085328277e-05,-0.0004822464773339,-0.000492932262024,0.0054971132185869,0.0002468853643179
8.838596945124788e-05,-0.000246610658745,0.0079086838677015,0.0007645951034318,-3.059379030727172e-05,-0.0004115948124609,-0.0017599618324412,6.52535000451948e-05,-0.0005023997029398,-0.0004918856075831,0.0054637272484475,0.0002645495720667
8.861312093461305e-05,-0.0002483164900693,0.0078916651257355,0.0007606329048548,-2.457977271922651e-05,-0.0004054180501282,-0.0016729276977712,6.28527944692081e-05,-0.0005232292565241,-0.0004901982706974,0.0054310621874488,0.0002793417481688
9.047023725460068e-05,-0.0002488457223783,0.0078642272481203,0.0007573550754683,-2.437932846278912e-05,-0.0003996853181674,-0.0015888981330932,6.047012624039727e-05,-0.0005411740633196,-0.0004883783979073,0.0054045177133778,0.0002922342001317
